#  Time[s]  	bnd_inflow[Q [m3/s]] 	bnd_inflow[Qsed tot [m3/s]] 	bnd_inflow[Qsed d=7 mm [m3/s]] 	bnd_inflow[Qsed d=20 mm [m3/s]] 	bnd_inflow[Qsed d=33 mm [m3/s]] 	bnd_inflow[Qsed d=46 mm [m3/s]] 	bnd_inflow[Qsed d=59 mm [m3/s]] 	bnd_outflow[Q [m3/s]] 	bnd_outflow[Qsed tot [m3/s]] 	bnd_outflow[Qsed d=7 mm [m3/s]] 	bnd_outflow[Qsed d=20 mm [m3/s]] 	bnd_outflow[Qsed d=33 mm [m3/s]] 	bnd_outflow[Qsed d=46 mm [m3/s]] 	bnd_outflow[Qsed d=59 mm [m3/s]] 	bnd_inflow_sed[Q [m3/s]] 	bnd_inflow_sed[Qsed tot [m3/s]] 	bnd_inflow_sed[Qsed d=7 mm [m3/s]] 	bnd_inflow_sed[Qsed d=20 mm [m3/s]] 	bnd_inflow_sed[Qsed d=33 mm [m3/s]] 	bnd_inflow_sed[Qsed d=46 mm [m3/s]] 	bnd_inflow_sed[Qsed d=59 mm [m3/s]] 	
110000 	              -0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0
115000 	       18.963744 	               0 	               0 	               0 	               0 	               0 	               0 	       17.172493 	   1.5305361e-05 	   5.6070971e-06 	   3.1412617e-06 	   1.7993635e-06 	   2.4398149e-06 	   2.3178242e-06 	               0 	    -0.015832832 	    -0.006777606 	   -0.0033527727 	   -0.0017199413 	   -0.0021243904 	   -0.0018581218
120000 	       22.378423 	               0 	               0 	               0 	               0 	               0 	               0 	        21.36101 	    0.0017272451 	   0.00081619087 	   0.00033266548 	   0.00015896513 	   0.00021508904 	   0.00020433458 	               0 	    -0.017687939 	   -0.0077296675 	   -0.0037850649 	   -0.0019014893 	   -0.0022998642 	   -0.0019718527
125000 	       20.080932 	               0 	               0 	               0 	               0 	               0 	               0 	       18.249768 	   3.6616575e-05 	   2.0119867e-05 	   6.5294366e-06 	   2.7464719e-06 	   3.7029743e-06 	   3.5178256e-06 	               0 	    -0.018539205 	   -0.0080584973 	   -0.0039576747 	   -0.0019995378 	   -0.0024308234 	   -0.0020926715
130000 	       23.952836 	               0 	               0 	               0 	               0 	               0 	               0 	       22.766495 	   7.9987737e-05 	   5.0271232e-05 	   1.2792106e-05 	    4.800245e-06 	   6.2188553e-06 	   5.9052999e-06 	               0 	    -0.020245356 	   -0.0087336886 	    -0.004305318 	   -0.0021919609 	   -0.0026854081 	   -0.0023289799
135000 	       34.448461 	               0 	               0 	               0 	               0 	               0 	               0 	       32.147227 	    0.0003551338 	   0.00027995122 	    3.472155e-05 	   1.2044739e-05 	   1.4759771e-05 	   1.3656522e-05 	               0 	    -0.024561009 	    -0.010459264 	   -0.0051878301 	   -0.0026753537 	   -0.0033209481 	   -0.0029176132
140000 	       48.639085 	               0 	               0 	               0 	               0 	               0 	               0 	       42.795677 	   0.00033480981 	   0.00026095001 	   3.7701664e-05 	   1.1211772e-05 	   1.3106456e-05 	   1.1839903e-05 	               0 	    -0.029398887 	     -0.01223195 	   -0.0061327093 	   -0.0032341933 	   -0.0041079664 	   -0.0036920681
145000 	       77.796953 	               0 	               0 	               0 	               0 	               0 	               0 	       76.924745 	    0.0014330937 	    0.0010103903 	   0.00030470197 	   5.9436656e-05 	   3.3613414e-05 	   2.4951299e-05 	               0 	    -0.036641788 	    -0.015015775 	   -0.0075809052 	   -0.0040554426 	   -0.0052260543 	   -0.0047636112
150000 	       81.128776 	               0 	               0 	               0 	               0 	               0 	               0 	          80.964 	    0.0084537786 	    0.0059841101 	    0.0020664669 	   0.00027207524 	   7.8518846e-05 	   5.2607384e-05 	               0 	    -0.035788739 	    -0.014637864 	   -0.0073965186 	   -0.0039639049 	   -0.0051174437 	   -0.0046730076
155000 	       69.777221 	               0 	               0 	               0 	               0 	               0 	               0 	       72.500594 	    0.0016466367 	    0.0011184694 	   0.00046648292 	   3.9419592e-05 	    1.284066e-05 	    9.424113e-06 	               0 	    -0.033919941 	    -0.013844875 	   -0.0070022191 	   -0.0037597509 	   -0.0048634095 	    -0.004449687
