# time[s]   	hydraulic_timestep[s] 	Element    	Edge      
0 	         1 	        -1 	        -1
1000 	0.0592778232 	       561 	      1413
2000 	0.0592790116 	       561 	      1413
3000 	0.0594303953 	       561 	      1413
4000 	0.0594326288 	       561 	      1413
5000 	0.0594290518 	       561 	      1413
6000 	0.059436019 	       561 	      1413
7000 	0.0594366834 	       561 	      1413
8000 	0.0594364757 	       561 	      1413
9000 	0.059431886 	       561 	      1413
10000 	0.0594302865 	       561 	      1413
11000 	0.0594292912 	       561 	      1413
12000 	0.0594301571 	       561 	      1413
13000 	0.0594316366 	       561 	      1413
14000 	0.0594304174 	       561 	      1413
15000 	0.0594333671 	       561 	      1413
16000 	0.0594359184 	       561 	      1413
17000 	0.0594367553 	       561 	      1413
18000 	0.0594341982 	       561 	      1413
19000 	0.0594339146 	       561 	      1413
20000 	0.0594367607 	       561 	      1413
21000 	0.0594352221 	       561 	      1413
22000 	0.0594326824 	       561 	      1413
23000 	0.0594308767 	       561 	      1413
24000 	0.0594309238 	       561 	      1413
25000 	0.0594339056 	       561 	      1413
26000 	0.0594372244 	       561 	      1413
27000 	0.0594339925 	       561 	      1413
28000 	0.0594323144 	       561 	      1413
29000 	0.0594357381 	       561 	      1413
30000 	0.0594314662 	       561 	      1413
31000 	0.0594293437 	       561 	      1413
32000 	0.0594329457 	       561 	      1413
33000 	0.0594313698 	       561 	      1413
34000 	0.0594294009 	       561 	      1413
35000 	0.0594302986 	       561 	      1413
36000 	0.0594336398 	       561 	      1413
37000 	0.059436939 	       561 	      1413
38000 	0.0594315916 	       561 	      1413
39000 	0.0594310461 	       561 	      1413
40000 	0.0594371286 	       561 	      1413
41000 	0.0594345167 	       561 	      1413
42000 	0.05943939 	       561 	      1413
43000 	0.0594319856 	       561 	      1413
44000 	0.0594357555 	       561 	      1413
45000 	0.0594325261 	       561 	      1413
46000 	0.0594296376 	       561 	      1413
47000 	0.0594294834 	       561 	      1413
48000 	0.0594323253 	       561 	      1413
49000 	0.0594325775 	       561 	      1413
50000 	0.059426817 	       561 	      1413

# Run Time of the simulation= 423.708 sec
