#  Time[s]  	bnd_inflow[Q [m3/s]] 	bnd_outflow[Q [m3/s]] 	
0 	              -0 	               0
1000 	            13.1 	       8.5026453
2000 	            13.1 	       12.520384
3000 	            13.1 	       13.019735
4000 	            13.1 	       13.086941
5000 	            13.1 	       13.097771
6000 	            13.1 	       13.102024
7000 	            13.1 	       13.106203
8000 	            13.1 	        13.10575
9000 	            13.1 	       13.107911
10000 	            13.1 	       13.107889
11000 	            13.1 	       13.101189
12000 	            13.1 	         13.0965
13000 	            13.1 	        13.09433
14000 	            13.1 	       13.092462
15000 	            13.1 	       13.094604
16000 	            13.1 	       13.097338
17000 	            13.1 	       13.098542
18000 	            13.1 	       13.105821
19000 	            13.1 	       13.106735
20000 	            13.1 	       13.108582
21000 	            13.1 	       13.106143
22000 	            13.1 	       13.103714
23000 	            13.1 	       13.096245
24000 	            13.1 	       13.095673
25000 	            13.1 	       13.093064
26000 	            13.1 	       13.092926
27000 	            13.1 	       13.095727
28000 	            13.1 	        13.09995
29000 	            13.1 	       13.102341
30000 	            13.1 	       13.105599
31000 	            13.1 	       13.106407
32000 	            13.1 	       13.107232
33000 	            13.1 	       13.106427
34000 	            13.1 	        13.10072
35000 	            13.1 	        13.09692
36000 	            13.1 	       13.094652
37000 	            13.1 	       13.092172
38000 	            13.1 	       13.092113
39000 	            13.1 	        13.09845
40000 	            13.1 	       13.100592
41000 	            13.1 	       13.100786
42000 	            13.1 	        13.10597
43000 	            13.1 	       13.106051
44000 	            13.1 	       13.106587
45000 	            13.1 	       13.101858
46000 	            13.1 	       13.094795
47000 	            13.1 	       13.095336
48000 	            13.1 	        13.09345
49000 	            13.1 	       13.092451
50000 	            13.1 	        13.09452
