# time[s]   	initial_volume_sediment[m3] 	initial_volume_suspension[m3] 	bedload_boundary_inflow[m3] 	bedload_boundary_outflow[m3] 	bedload_external_source[m3] 	suspension_boundary_inflow[m3] 	suspension_boundary_outflow[m3] 	suspension_external_source[m3] 	present_sediment_volume[m3] 	present_suspension_volume[m3] 	mass_error_absolute[m3] 	mass_error_relative[%] 	hydraulic_timestep[s] 	Element    	Edge      
110000 	72648.0806 	0 	0 	0 	0 	0 	0 	0 	72648.0806 	0 	0 	0 	0.106954423 	        -1 	        -1
111000 	72648.0806 	0 	-17.9159825 	0 	0 	0 	0 	0 	72665.9966 	0 	8.87666829e-10 	1.22157112e-12 	0.00105276743 	      1534 	      1392
112000 	72648.0806 	0 	-29.715242 	0 	0 	0 	0 	0 	72677.7958 	0 	6.54836185e-10 	9.0101272e-13 	0.00327528192 	       171 	       458
113000 	72648.0806 	0 	-41.0463737 	0 	0 	0 	0 	0 	72689.127 	0 	2.03726813e-10 	2.80271372e-13 	0.00269691552 	      1534 	      1392
114000 	72648.0806 	0 	-55.245146 	0 	0 	0 	0 	0 	72703.3257 	0 	-3.28873284e-09 	-4.52349711e-12 	0.0148037089 	      1534 	      1392
115000 	72648.0806 	0 	-72.5648796 	0.00183572243 	0 	0 	0 	0 	72720.6436 	0 	-3.36149242e-09 	-4.62247341e-12 	0.0188708161 	      1534 	      1392
116000 	72648.0806 	0 	-88.5615678 	0.0287669288 	0 	0 	0 	0 	72736.6134 	0 	-3.12866177e-09 	-4.3013575e-12 	0.00195167244 	      1534 	      1392
117000 	72648.0806 	0 	-104.054876 	0.102806281 	0 	0 	0 	0 	72752.0327 	0 	-3.68163455e-09 	-5.06052466e-12 	0.0112693806 	       171 	       458
118000 	72648.0806 	0 	-119.179251 	0.146377864 	0 	0 	0 	0 	72767.1135 	0 	-5.41331246e-09 	-7.43922935e-12 	0.0152060029 	      1534 	      1392
119000 	72648.0806 	0 	-134.351528 	0.172762994 	0 	0 	0 	0 	72782.2594 	0 	-2.34285835e-09 	-3.21899646e-12 	0.0415041768 	      1534 	      1392
120000 	72648.0806 	0 	-151.211101 	0.200495711 	0 	0 	0 	0 	72799.0912 	0 	-1.60071068e-10 	-2.19880585e-13 	     0.001 	      1534 	      1392
121000 	72648.0806 	0 	-168.377243 	0.240461251 	0 	0 	0 	0 	72816.2174 	0 	-7.27595761e-11 	-9.99222134e-14 	0.0321506113 	      1534 	      1392
122000 	72648.0806 	0 	-185.907313 	0.262194772 	0 	0 	0 	0 	72833.7257 	0 	5.09317033e-10 	6.99287353e-13 	0.0159458508 	      1534 	      1392
123000 	72648.0806 	0 	-203.150552 	0.277192177 	0 	0 	0 	0 	72850.954 	0 	1.45519152e-10 	1.99749138e-13 	0.00124387559 	      1534 	      1392
124000 	72648.0806 	0 	-220.832351 	0.290556039 	0 	0 	0 	0 	72868.6224 	0 	-1.58615876e-09 	-2.17673768e-12 	0.00791616194 	      1534 	      1392
125000 	72648.0806 	0 	-238.741293 	0.309319725 	0 	0 	0 	0 	72886.5126 	0 	2.60479283e-09 	3.57376521e-12 	0.0238806909 	      1534 	      1392
126000 	72648.0806 	0 	-257.650574 	0.340574231 	0 	0 	0 	0 	72905.3906 	0 	3.5361154e-09 	4.85027976e-12 	0.0166530556 	      1534 	      1392
127000 	72648.0806 	0 	-276.661455 	0.383490833 	0 	0 	0 	0 	72924.3586 	0 	6.43194653e-09 	8.82002483e-12 	0.0294857329 	      1534 	      1392
128000 	72648.0806 	0 	-295.763239 	0.430149799 	0 	0 	0 	0 	72943.4137 	0 	8.19272827e-09 	1.12316217e-11 	0.0355199276 	      1534 	      1392
129000 	72648.0806 	0 	-315.10473 	0.477279688 	0 	0 	0 	0 	72962.708 	0 	8.52742232e-09 	1.16873709e-11 	0.0334528401 	      1534 	      1392
130000 	72648.0806 	0 	-334.945522 	0.537533685 	0 	0 	0 	0 	72982.4886 	0 	9.9389581e-09 	1.36182779e-11 	0.0359289637 	      1534 	      1392
131000 	72648.0806 	0 	-355.254783 	0.612845238 	0 	0 	0 	0 	73002.7225 	0 	8.81846063e-09 	1.20796325e-11 	0.031351839 	      1534 	      1392
132000 	72648.0806 	0 	-375.795623 	0.69599651 	0 	0 	0 	0 	73023.1802 	0 	1.06228981e-08 	1.45472959e-11 	0.0391585333 	      1534 	      1392
133000 	72648.0806 	0 	-397.839346 	0.797477925 	0 	0 	0 	0 	73045.1225 	0 	1.07393134e-08 	1.47023005e-11 	0.00305244318 	      1534 	      1392
134000 	72648.0806 	0 	-420.212782 	0.927551088 	0 	0 	0 	0 	73067.3658 	0 	1.27183739e-08 	1.74063671e-11 	0.0166705275 	      1534 	      1392
135000 	72648.0806 	0 	-443.922172 	1.10706556 	0 	0 	0 	0 	73090.8957 	0 	1.27474777e-08 	1.74405822e-11 	0.032269647 	      1534 	      1392
136000 	72648.0806 	0 	-469.553755 	1.43078915 	0 	0 	0 	0 	73116.2036 	0 	1.28056854e-08 	1.75141552e-11 	0.0153973023 	      1534 	      1392
137000 	72648.0806 	0 	-498.119904 	1.93624609 	0 	0 	0 	0 	73144.2643 	0 	1.28347892e-08 	1.75472258e-11 	0.0218353197 	      1534 	      1392
138000 	72648.0806 	0 	-525.399708 	2.51086674 	0 	0 	0 	0 	73170.9694 	0 	9.92440619e-09 	1.35633111e-11 	0.0348935194 	      1534 	      1392
139000 	72648.0806 	0 	-552.683499 	2.95755077 	0 	0 	0 	0 	73197.8065 	0 	8.93487595e-09 	1.22064805e-11 	0.0319727523 	      1534 	      1392
140000 	72648.0806 	0 	-580.236257 	3.28289279 	0 	0 	0 	0 	73225.034 	0 	7.94534571e-09 	1.08505866e-11 	0.0411771784 	      1534 	      1392
141000 	72648.0806 	0 	-612.944049 	3.85282563 	0 	0 	0 	0 	73257.1718 	0 	7.43602868e-09 	1.01505812e-11 	0.033738648 	      1534 	      1392
142000 	72648.0806 	0 	-646.266279 	4.7284951 	0 	0 	0 	0 	73289.6184 	0 	8.36735126e-09 	1.14168302e-11 	0.00838441995 	      1534 	      1392
143000 	72648.0806 	0 	-680.84853 	5.70178415 	0 	0 	0 	0 	73323.2273 	0 	7.18864612e-09 	9.80405034e-12 	0.0236563046 	      1534 	      1392
144000 	72648.0806 	0 	-717.537683 	6.95773199 	0 	0 	0 	0 	73358.6605 	0 	-2.0081643e-09 	-2.73746043e-12 	0.00897412116 	      1534 	      1392
145000 	72648.0806 	0 	-754.153559 	8.32452794 	0 	0 	0 	0 	73393.9096 	0 	-1.44646037e-08 	-1.97081799e-11 	0.037253969 	      1534 	      1392
146000 	72648.0806 	0 	-790.854752 	9.70946287 	0 	0 	0 	0 	73429.2259 	0 	-2.53785402e-08 	-3.45619062e-11 	0.028381988 	      1534 	      1392
147000 	72648.0806 	0 	-827.185081 	11.0730623 	0 	0 	0 	0 	73464.1926 	0 	-3.93629307e-08 	-5.35811111e-11 	0.00133097087 	      1534 	      1392
148000 	72648.0806 	0 	-862.875588 	12.3536736 	0 	0 	0 	0 	73498.6025 	0 	-4.82832547e-08 	-6.56927521e-11 	0.0387665247 	      1534 	      1392
149000 	72648.0806 	0 	-898.410047 	13.4070238 	0 	0 	0 	0 	73533.0836 	0 	-5.81057975e-08 	-7.90199386e-11 	0.00527497075 	      1534 	      1392
150000 	72648.0806 	0 	-934.296613 	14.3408511 	0 	0 	0 	0 	73568.0364 	0 	-6.73026079e-08 	-9.1483491e-11 	0.00431181592 	      1534 	      1392
151000 	72648.0806 	0 	-969.916935 	15.2289665 	0 	0 	0 	0 	73602.7686 	0 	-7.92351784e-08 	-1.07652443e-10 	0.0093873264 	      1534 	      1392
152000 	72648.0806 	0 	-1004.74549 	16.0227251 	0 	0 	0 	0 	73636.8034 	0 	-8.90577212e-08 	-1.20941862e-10 	0.031095636 	      1534 	      1392
153000 	72648.0806 	0 	-1039.46154 	16.7265288 	0 	0 	0 	0 	73670.8156 	0 	-9.93750291e-08 	-1.34890632e-10 	0.0286303894 	      1534 	      1392
154000 	72648.0806 	0 	-1074.05952 	17.3143759 	0 	0 	0 	0 	73704.8257 	0 	-1.10638211e-07 	-1.50109861e-10 	0.0303521625 	      1534 	      1392
155000 	72648.0806 	0 	-1108.39175 	17.8482833 	0 	0 	0 	0 	73738.6241 	0 	-1.16924639e-07 	-1.58566342e-10 	0.0121115959 	      1534 	      1392
