#  Time[s]  	bnd_inflow[Q [m3/s]] 	bnd_inflow[Qsed tot [m3/s]] 	bnd_inflow[Qsed d=7 mm [m3/s]] 	bnd_inflow[Qsed d=20 mm [m3/s]] 	bnd_inflow[Qsed d=33 mm [m3/s]] 	bnd_inflow[Qsed d=46 mm [m3/s]] 	bnd_inflow[Qsed d=59 mm [m3/s]] 	bnd_outflow[Q [m3/s]] 	bnd_outflow[Qsed tot [m3/s]] 	bnd_outflow[Qsed d=7 mm [m3/s]] 	bnd_outflow[Qsed d=20 mm [m3/s]] 	bnd_outflow[Qsed d=33 mm [m3/s]] 	bnd_outflow[Qsed d=46 mm [m3/s]] 	bnd_outflow[Qsed d=59 mm [m3/s]] 	bnd_inflow_sed[Q [m3/s]] 	bnd_inflow_sed[Qsed tot [m3/s]] 	bnd_inflow_sed[Qsed d=7 mm [m3/s]] 	bnd_inflow_sed[Qsed d=20 mm [m3/s]] 	bnd_inflow_sed[Qsed d=33 mm [m3/s]] 	bnd_inflow_sed[Qsed d=46 mm [m3/s]] 	bnd_inflow_sed[Qsed d=59 mm [m3/s]] 	
0 	              -0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0
1000 	       7.2597743 	               0 	               0 	               0 	               0 	               0 	               0 	        7.306721 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0
2000 	       7.0130739 	               0 	               0 	               0 	               0 	               0 	               0 	       7.1727441 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0
3000 	       6.8821947 	               0 	               0 	               0 	               0 	               0 	               0 	       6.9810498 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0
4000 	       6.7566981 	               0 	               0 	               0 	               0 	               0 	               0 	       6.8478914 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0
5000 	       6.6376651 	               0 	               0 	               0 	               0 	               0 	               0 	       6.7266188 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0
6000 	        6.657376 	               0 	               0 	               0 	               0 	               0 	               0 	       6.6464233 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0
7000 	       6.7125897 	               0 	               0 	               0 	               0 	               0 	               0 	       6.6760163 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0
8000 	       6.7326739 	               0 	               0 	               0 	               0 	               0 	               0 	       6.7217065 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0
9000 	       6.7326739 	               0 	               0 	               0 	               0 	               0 	               0 	       6.7325934 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0 	               0
