# time[s]   	initial_volume_sediment[m3] 	initial_volume_suspension[m3] 	bedload_boundary_inflow[m3] 	bedload_boundary_outflow[m3] 	bedload_external_source[m3] 	suspension_boundary_inflow[m3] 	suspension_boundary_outflow[m3] 	suspension_external_source[m3] 	present_sediment_volume[m3] 	present_suspension_volume[m3] 	mass_error_absolute[m3] 	mass_error_relative[%] 	hydraulic_timestep[s] 	Element    	Edge      
110000 	72648.0806 	0 	0 	0 	0 	0 	0 	0 	72648.0806 	0 	0 	0 	0.106954423 	        -1 	        -1
120000 	72648.0806 	0 	-415.552085 	0.194484127 	0 	0 	0 	0 	73063.4382 	0 	5.40458132e-08 	7.39710784e-11 	0.0320929053 	      1768 	      3864
130000 	72648.0806 	0 	-966.142985 	0.354875732 	0 	0 	0 	0 	73613.8687 	0 	1.47207174e-07 	1.99972066e-10 	0.012288805 	      1768 	      3864
140000 	72648.0806 	0 	-1468.38497 	3.14108615 	0 	0 	0 	0 	74113.3245 	0 	2.9146031e-07 	3.93263036e-10 	0.00742113977 	      1768 	      3864
150000 	72648.0806 	0 	-1817.90813 	18.6048593 	0 	0 	0 	0 	74447.3839 	0 	5.08443918e-07 	6.82957401e-10 	0.0210922884 	      1768 	      3864
160000 	72648.0806 	0 	-2164.97955 	27.763028 	0 	0 	0 	0 	74785.2971 	0 	7.50034815e-07 	1.00291748e-09 	0.0189392554 	      1768 	      3864
170000.001 	72648.0806 	0 	-2508.31452 	31.3661187 	0 	0 	0 	0 	75125.029 	0 	1.03951606e-06 	1.38371469e-09 	     0.001 	      1768 	      3864
180000 	72648.0806 	0 	-2856.199 	38.7445037 	0 	0 	0 	0 	75465.5351 	0 	1.34852598e-06 	1.78694285e-09 	0.00328698891 	      1768 	      3864
190000 	72648.0806 	0 	-3210.43971 	50.2549435 	0 	0 	0 	0 	75808.2654 	0 	1.69716077e-06 	2.23875426e-09 	0.00552642034 	      1768 	      3864
200000 	72648.0806 	0 	-3584.27417 	92.6989353 	0 	0 	0 	0 	76139.6558 	0 	2.66206916e-06 	3.49629787e-09 	0.00749874258 	      1768 	      3864
210000 	72648.0806 	0 	-3958.16951 	133.408507 	0 	0 	0 	0 	76472.8416 	0 	3.83521547e-06 	5.01513398e-09 	0.00882343101 	      1768 	      3864
220000 	72648.0806 	0 	-4332.58944 	166.092646 	0 	0 	0 	0 	76814.5774 	0 	5.18088927e-06 	6.74466937e-09 	0.00168574191 	      1768 	      3864
230000 	72648.0806 	0 	-4698.00861 	177.106461 	0 	0 	0 	0 	77168.9828 	0 	6.5395725e-06 	8.47435364e-09 	0.00396914888 	      1768 	      3864
240000 	72648.0806 	0 	-5067.8004 	185.347797 	0 	0 	0 	0 	77530.5332 	0 	7.94511288e-06 	1.02477212e-08 	0.0124727645 	      1768 	      3864
250000 	72648.0806 	0 	-5438.57282 	193.331001 	0 	0 	0 	0 	77893.3224 	0 	9.50605317e-06 	1.22039385e-08 	0.00765146129 	      1768 	      3864
260000.001 	72648.0806 	0 	-5801.23298 	195.264714 	0 	0 	0 	0 	78254.0489 	0 	1.1351076e-05 	1.45054168e-08 	     0.001 	      1768 	      3864
270000 	72648.0806 	0 	-6154.54146 	195.317112 	0 	0 	0 	0 	78607.305 	0 	1.31221313e-05 	1.66932722e-08 	0.00570098805 	      1768 	      3864
280000 	72648.0806 	0 	-6514.77418 	195.329148 	0 	0 	0 	0 	78967.5256 	0 	1.47627579e-05 	1.86947201e-08 	0.0123408734 	       171 	       458
290000 	72648.0806 	0 	-6875.43412 	195.329148 	0 	0 	0 	0 	79328.1856 	0 	1.64779194e-05 	2.07718345e-08 	     0.001 	       171 	       458
