#  Time[s]  	bnd_inflow[Q [m3/s]] 	bnd_inflow[Qsed tot [m3/s]] 	bnd_outflow[Q [m3/s]] 	bnd_outflow[Qsed tot [m3/s]] 	bnd_inflow_sed[Q [m3/s]] 	bnd_inflow_sed[Qsed tot [m3/s]] 	
110000 	              -0 	               0 	               0 	               0 	               0 	               0
115000 	        18.96368 	               0 	       17.166345 	    4.788987e-06 	               0 	    -0.028776076
120000 	       22.378419 	               0 	       21.324688 	   4.4911842e-05 	               0 	     -0.05505909
125000 	       20.080889 	               0 	        18.23965 	   6.4418206e-07 	               0 	     -0.05505909
130000 	       23.952851 	               0 	       22.734354 	   0.00010441149 	               0 	     -0.05505909
135000 	       34.448582 	               0 	       32.121912 	   0.00069366892 	               0 	     -0.05505909
140000 	       48.639873 	               0 	       42.754087 	    0.0012345517 	               0 	    -0.037005371
145000 	       77.797013 	               0 	       76.883011 	    0.0037146613 	               0 	    -0.034614016
150000 	       81.128784 	               0 	       80.899694 	    0.0016465071 	               0 	    -0.035182771
155000 	       69.777209 	               0 	       72.342873 	     0.001809471 	               0 	    -0.034637059
160000 	       66.259615 	               0 	       65.347751 	   0.00049294954 	               0 	    -0.034505128
165000 	       62.529186 	               0 	       61.677651 	   0.00051438608 	               0 	    -0.034238001
170000 	       71.517941 	               0 	       69.499316 	    0.0092324277 	               0 	    -0.034434669
175000 	       83.018005 	               0 	       81.982953 	     0.001401537 	               0 	    -0.035023528
180000 	       79.346362 	               0 	       78.403195 	    0.0043282423 	               0 	    -0.034847217
185000 	       91.170212 	               0 	       89.520536 	    0.0034488648 	               0 	    -0.035434087
190000 	       107.17409 	               0 	       101.81734 	    0.0057079117 	               0 	    -0.036140402
195000 	       160.54056 	               0 	       155.28896 	    0.0060000798 	               0 	    -0.037739423
200000 	       179.48926 	               0 	       179.56797 	     0.013370785 	               0 	     -0.03785019
205000 	       160.91292 	               0 	       158.01189 	     0.044857388 	               0 	    -0.037128591
210000 	       179.03997 	               0 	       171.52529 	    0.0074519784 	               0 	    -0.037472295
215000 	       174.27184 	               0 	       176.18133 	    0.0079412415 	               0 	    -0.037628951
220000 	        152.1537 	               0 	       153.21338 	     0.020603697 	               0 	    -0.036869328
225000 	       131.27692 	               0 	       132.63513 	     0.016929162 	               0 	    -0.036445554
230000 	        130.1686 	               0 	       128.67969 	    0.0030467414 	               0 	    -0.036647044
235000 	       137.33261 	               0 	        136.5717 	    0.0011948247 	               0 	    -0.037036404
240000 	       142.29512 	               0 	       141.86763 	    0.0013059709 	               0 	    -0.037182071
245000 	       139.33807 	               0 	       140.53541 	    0.0043501702 	               0 	    -0.037191316
250000 	       128.85523 	               0 	       129.05486 	    0.0011394268 	               0 	    -0.036856284
255000 	       106.30193 	               0 	         110.086 	   0.00023297215 	               0 	    -0.035810742
260000 	       83.214874 	               0 	       85.357521 	   5.3839343e-05 	               0 	    -0.035464313
265000 	       77.212231 	               0 	       77.374109 	   6.6950734e-06 	               0 	     -0.03532243
270000 	       72.975129 	               0 	       72.927135 	   8.4478962e-06 	               0 	    -0.035298357
275000 	       63.775926 	               0 	       63.996013 	   3.7290774e-07 	               0 	    -0.035945444
