#Zeitstempel	Wert
0	7.001
300	6.923
600	6.848
900	6.774
1200	6.699
1500	6.625
1800	6.553
2100	6.503
2400	6.468
2700	6.433
3000	6.398
3300	6.363
3600	6.328
3900	6.293
4200	6.258
4500	6.224
4800	6.192
5100	6.16
5400	6.158
5700	6.173
6000	6.189
6300	6.204
6600	6.22
6900	6.235
7200	6.251
7500	6.259
7800	6.259
8100	6.259
8400	6.259
8700	6.259
9000	6.259
9300	6.259
9600	6.259
9900	6.259
10200	6.259
10500	6.259
10800	6.259
11100	6.259
11400	6.259
11700	6.259
12000	6.259
12300	6.259
12600	6.259
12900	6.259
13200	6.259
13500	6.259
13800	6.259
14100	6.259
14400	6.259
14700	6.259
15000	6.259
15300	6.268
15600	6.344
15900	6.433
16200	6.522
16500	6.612
16800	6.703
17100	6.794
17400	6.86
17700	6.88
18000	6.899
18300	6.918
18600	6.936
18900	6.955
19200	6.974
19500	6.967
19800	6.923
20100	6.88
20400	6.836
20700	6.793
21000	6.749
21300	6.706
21600	6.663
21900	6.622
22200	6.581
22500	6.54
22800	6.499
23100	6.458
23400	6.417
23700	6.376
24000	6.335
24300	6.319
24600	6.32
24900	6.322
25200	6.323
25500	6.325
25800	6.326
26100	6.327
26400	6.329
26700	6.33
27000	6.332
27300	6.333
27600	6.335
27900	6.336
28200	6.338
28500	6.339
28800	6.34
29100	6.342
29400	6.343
29700	6.345
30000	6.346
30300	6.362
30600	6.432
30900	6.506
31200	6.58
31500	6.655
31800	6.733
32100	6.811
32400	6.889
32700	6.968
33000	7.05
33300	7.132
33600	7.213
33900	7.21
34200	7.154
34500	7.099
34800	7.088
35100	7.096
35400	7.104
35700	7.111
36000	7.119
36300	7.127
36600	7.134
36900	7.142
37200	7.15
37500	7.157
37800	7.165
38100	7.173
38400	7.176
38700	7.156
39000	7.134
39300	7.111
39600	7.09
39900	7.099
40200	7.121
40500	7.143
40800	7.165
41100	7.187
41400	7.209
41700	7.231
42000	7.253
42300	7.275
42600	7.297
42900	7.319
43200	7.362
43500	7.573
43800	7.799
44100	7.839
44400	7.837
44700	7.834
45000	7.831
45300	7.828
45600	7.826
45900	7.823
46200	7.82
46500	7.817
46800	7.815
47100	7.812
47400	7.809
47700	7.806
48000	7.803
48300	7.801
48600	7.798
48900	7.795
49200	7.792
49500	7.79
49800	7.787
50100	7.784
50400	7.781
50700	7.779
51000	7.778
51300	7.848
51600	7.95
