#TIME[s]	VALUE
0	17.498
300	18.403
600	19.579
900	20.774
1200	20.804
1500	19.588
1800	18.393
2100	17.223
2400	17.285
2700	17.017
3000	16.522
3300	16.026
3600	15.532
3900	15.044
4200	14.579
4500	16.412
4800	16.733
5100	16.799
5400	16.866
5700	16.932
6000	17.119
6300	19.443
6600	19.992
6900	19.871
7200	19.754
7500	19.744
7800	19.780
8100	19.815
8400	19.851
8700	19.772
9000	19.274
9300	18.738
9600	19.136
9900	20.870
10200	20.839
10500	20.808
10800	20.955
11100	22.212
11400	22.379
11700	22.370
12000	22.362
12300	22.353
12600	22.344
12900	22.336
13200	23.715
13500	25.960
13800	26.392
14100	26.769
14400	26.812
14700	26.423
15000	27.055
15300	28.211
15600	29.393
15900	30.698
16200	32.025
16500	33.361
16800	35.338
17100	37.727
17400	40.132
17700	42.545
18000	45.141


