# time[s]   	hydraulic_timestep[s] 	Element    	Edge       	water_vol[m3]
0 	         1 	        -1 	        -1 	         0
1800 	0.0176992557 	      3177 	      5736 	12450.9415
3600 	0.0356343305 	      3177 	      5736 	12767.2028
5400 	0.0257979758 	      3177 	      5736 	12840.0868
7200 	0.022436792 	      3177 	      5736 	12821.1103
9000 	0.042179356 	      3177 	      5736 	12889.8177
10800 	0.0434760967 	      3177 	      5736 	12828.0262
12600.0003 	     0.001 	      3177 	      5736 	12759.1734
14400 	0.00489309775 	      3177 	      5736 	12766.1785

# Run Time of the simulation= 356.574 sec
