# time[s]   	hydraulic_timestep[s] 	Element    	Edge       	water_vol[m3] 	initial_volume_sediment[m3] 	initial_volume_suspension[m3] 	bedload_boundary_inflow[m3] 	bedload_boundary_outflow[m3] 	bedload_external_source[m3] 	suspension_boundary_inflow[m3] 	suspension_boundary_outflow[m3] 	suspension_external_source[m3] 	present_sediment_volume[m3] 	present_suspension_volume[m3] 	mass_error_absolute[m3] 	mass_error_relative[%]
0 	0.0822218021 	        -1 	        -1 	7556.29573 	72648.0806 	0 	0 	0 	0 	0 	0 	0 	72648.0806 	0 	0 	0
1800 	0.0599083706 	      1554 	      1261 	12358.8284 	72648.0806 	0 	-0.143397222 	0 	0 	0 	0 	0 	72648.224 	0 	1.13650458e-08 	1.56439417e-11
3600 	0.0469403282 	        61 	       179 	10757.4311 	72648.0806 	0 	-0.167900667 	0 	0 	0 	0 	0 	72648.2485 	0 	2.059096e-08 	2.83433675e-11
5400 	0.0318148985 	        61 	       179 	11006.0031 	72648.0806 	0 	-0.209328792 	0 	0 	0 	0 	0 	72648.2899 	0 	2.9875082e-08 	4.11228977e-11
7200 	0.0544856612 	        61 	       179 	12398.4647 	72648.0806 	0 	-0.658410399 	0 	0 	0 	0 	0 	72648.739 	0 	3.76603566e-08 	5.18389681e-11
9000 	0.0383081154 	        61 	       179 	12313.8964 	72648.0806 	0 	-1.95085534 	0 	0 	0 	0 	0 	72650.0315 	0 	4.3088221e-08 	5.93092943e-11
10800 	0.0176683069 	        61 	       179 	12814.2401 	72648.0806 	0 	-4.64934503 	0 	0 	0 	0 	0 	72652.7299 	0 	4.95201675e-08 	6.81600919e-11
12600 	0.0205833801 	        61 	       179 	 13442.019 	72648.0806 	0 	-10.0792184 	0 	0 	0 	0 	0 	72658.1598 	0 	5.55155566e-08 	7.64064996e-11
14400 	0.0555150244 	        61 	       179 	15185.6789 	72648.0806 	0 	-18.4717299 	0 	0 	0 	0 	0 	72666.5523 	0 	6.34172466e-08 	8.72715775e-11
16200 	0.0275364168 	        61 	       179 	16804.4606 	72648.0806 	0 	-29.3015997 	0 	0 	0 	0 	0 	72677.3822 	0 	7.06495484e-08 	9.72098145e-11
18000 	0.00821256584 	        61 	       179 	 21471.135 	72648.0806 	0 	-46.9733998 	0.0252854889 	0 	0 	0 	0 	72695.0287 	0 	8.16216925e-08 	1.12279607e-10

# Run Time of the simulation= 952.745 sec
