#  Time[s]  	        Q [m3/s] 	 Qsed tot [m3/s] 	Qsed d=7 mm [m3/s] 	Qsed d=20 mm [m3/s] 	Qsed d=33 mm [m3/s] 	Qsed d=46 mm [m3/s] 	Qsed d=59 mm [m3/s] 	
0 	              -0 	               0 	               0 	               0 	               0 	               0 	               0
900 	        20.77376 	   -4.625129e-05 	  -1.6835469e-05 	  -9.5277657e-06 	  -5.4576522e-06 	  -7.4002063e-06 	   -7.030196e-06
1800 	       18.393259 	  -2.2325509e-05 	  -8.1264854e-06 	  -4.5990549e-06 	  -2.6344101e-06 	  -3.5720815e-06 	  -3.3934774e-06
2700 	       17.017018 	  -5.6433092e-05 	  -2.0541645e-05 	  -1.1625217e-05 	  -6.6591048e-06 	  -9.0292947e-06 	  -8.5778299e-06
3600 	       15.532092 	  -1.5363608e-05 	  -5.5923533e-06 	  -3.1649033e-06 	  -1.8129058e-06 	  -2.4581773e-06 	  -2.3352684e-06
4500 	       16.411839 	  -4.2090757e-05 	  -1.5321035e-05 	  -8.6706959e-06 	  -4.9667093e-06 	  -6.7345211e-06 	   -6.397795e-06
5400 	       16.865998 	  -0.00012891587 	  -4.6925376e-05 	  -2.6556669e-05 	  -1.5212072e-05 	  -2.0626539e-05 	  -1.9595212e-05
6300 	       19.442906 	  -0.00019566991 	  -7.1223849e-05 	  -4.0308002e-05 	   -2.308905e-05 	  -3.1307186e-05 	  -2.9741827e-05
7200 	       19.754021 	  -4.6313229e-05 	  -1.6858015e-05 	  -9.5405251e-06 	   -5.464961e-06 	  -7.4101166e-06 	  -7.0396108e-06
8100 	       19.814997 	   -9.603941e-05 	  -3.4958345e-05 	  -1.9784118e-05 	   -1.133265e-05 	  -1.5366306e-05 	   -1.459799e-05
9000 	       19.274054 	  -7.7595978e-05 	  -2.8244936e-05 	  -1.5984772e-05 	  -9.1563254e-06 	  -1.2415357e-05 	  -1.1794589e-05
9900 	       20.869966 	  -0.00054558959 	  -0.00019859461 	  -0.00011239145 	  -6.4379571e-05 	  -8.7294334e-05 	  -8.2929617e-05
10800 	       20.954986 	  -0.00011360379 	   -4.135178e-05 	  -2.3402381e-05 	  -1.3405247e-05 	  -1.8176607e-05 	  -1.7267776e-05
11700 	           22.37 	  -0.00049319883 	  -0.00017952437 	  -0.00010159896 	  -5.8197462e-05 	  -7.8911813e-05 	  -7.4966222e-05
12600 	          22.344 	  -0.00054002017 	  -0.00019656734 	  -0.00011124416 	   -6.372238e-05 	  -8.6403227e-05 	  -8.2083066e-05
13500 	       25.959901 	  -0.00092561001 	  -0.00033692204 	  -0.00019067566 	  -0.00010922198 	   -0.0001480976 	  -0.00014069272
14400 	       26.811993 	  -0.00024109192 	  -8.7757458e-05 	  -4.9664935e-05 	  -2.8448846e-05 	  -3.8574707e-05 	  -3.6645971e-05
15300 	       28.210892 	  -0.00049056957 	  -0.00017856732 	  -0.00010105733 	  -5.7887209e-05 	  -7.8491131e-05 	  -7.4566574e-05
16200 	       32.024797 	  -0.00052520054 	    -0.000191173 	  -0.00010819131 	  -6.1973664e-05 	  -8.4032086e-05 	  -7.9830482e-05
17100 	       37.726616 	   -0.0014630751 	  -0.00053255934 	  -0.00030139347 	  -0.00017264286 	  -0.00023409202 	  -0.00022238742
18000 	       45.140688 	   -0.0044438011 	   -0.0016175436 	  -0.00091542304 	  -0.00052436853 	  -0.00071100818 	  -0.00067545777
