#  Time[s]  	        Q [m3/s] 	 Qsed tot [m3/s] 	Qsed d=7 mm [m3/s] 	Qsed d=20 mm [m3/s] 	Qsed d=33 mm [m3/s] 	Qsed d=46 mm [m3/s] 	Qsed d=59 mm [m3/s] 	
0 	               0 	               0 	               0 	               0 	               0 	               0 	               0
900 	       20.714771 	   0.00016025726 	   0.00016025726 	               0 	   8.7437027e-47 	               0 	               0
1800.0007 	       20.051553 	   0.00027726778 	   0.00027726778 	               0 	               0 	               0 	               0
2700 	       17.750439 	   5.7242922e-06 	   5.7242922e-06 	               0 	               0 	               0 	               0
3600 	       16.470988 	   1.0723516e-06 	   1.0723516e-06 	               0 	               0 	               0 	               0
4500 	        15.24354 	   4.0191182e-07 	   4.0191182e-07 	               0 	               0 	               0 	               0
5400 	       16.521777 	   1.1143627e-06 	   1.1143627e-06 	               0 	               0 	               0 	               0
6300 	       17.192222 	   2.1717019e-06 	   2.1717019e-06 	               0 	               0 	               0 	               0
7200 	       19.504115 	   1.0340558e-05 	   1.0340558e-05 	               0 	               0 	               0 	               0
8100 	       19.710062 	   8.6274292e-06 	   8.6274292e-06 	               0 	               0 	               0 	               0
9000 	       19.753062 	   6.4439764e-05 	   5.2288986e-05 	    3.946536e-06 	   2.2540777e-06 	   3.0521689e-06 	   2.8979952e-06
9900 	       19.339126 	   5.3753484e-05 	   3.8201343e-05 	   5.0536698e-06 	   2.8844067e-06 	   3.9056757e-06 	    3.708389e-06
10800 	       20.646543 	   3.2955186e-05 	   2.3245214e-05 	   3.1611673e-06 	   1.7992538e-06 	   2.4363076e-06 	   2.3132428e-06
11700 	       21.978533 	   0.00097010448 	   0.00096373641 	   2.1482553e-06 	   1.1593736e-06 	   1.5698678e-06 	   1.4905694e-06
12600 	       22.315684 	    0.0003194253 	    0.0003194253 	               0 	   5.8963249e-31 	               0 	               0
13500 	       23.361507 	   0.00071395079 	   0.00071395079 	               0 	               0 	               0 	               0
14400 	       26.190332 	    0.0021106205 	    0.0021106205 	               0 	               0 	               0 	               0
15300 	       26.965878 	   0.00031142204 	   0.00031142204 	               0 	   5.4257681e-63 	               0 	               0
16200 	       29.923075 	   0.00086131524 	   0.00086131524 	               0 	   1.9106569e-48 	               0 	               0
17100 	       34.359535 	    0.0020768269 	    0.0020768269 	               0 	   1.9891501e-45 	               0 	               0
18000 	       41.200763 	    0.0010516413 	     0.001000526 	   1.6562725e-05 	   9.4826705e-06 	   1.2856569e-05 	    1.221331e-05
