#Q[m3/s]	Qs[m3/s]
0	0.000000
10	0.000000
20	0.000000
30	0.000000
40	0.000000
50	35.665000
60	88.798000
70	143.791000
80	200.644000
90	259.357000
100	319.930000
110	382.363000
120	446.656000
130	512.809000
140	580.822000
150	650.695000
160	722.428000
170	796.021000
180	871.474000
190	948.787000
200	1027.960000
210	1108.993000
220	1191.886000
230	1276.639000
240	1363.252000
250	1451.725000
260	1542.058000
270	1634.251000
280	1728.304000
290	1824.217000
300	1921.990000
310	2021.623000
320	2123.116000
330	2226.469000
340	2331.682000
350	2438.755000
360	2547.688000
370	2658.481000
380	2771.134000
390	2885.647000
400	3002.020000
